paper_id,year,title,venue,doi,author_position,corresponding_status,credit_role,style_tier,style_confidence,style_weight,is_ieee,is_ieee_transactions,pages,sha256,source_filename_hint,fulltext_status,source_route,abstract_words,abstract_sentences,abstract_mean_sentence_words,abstract_max_sentence_words,section_sequence,heading_features,abstract_moves,method_tags,evidence_tags,paper_card
2012-optimal-control-computer-virus-under-delayed-model,2012,Optimal control of computer virus under a delayed model,Applied Mathematics and Computation,10.1016/j.amc.2012.04.092,3,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.450,no,no,7,dc57e0966748df4ad036c693173ca92ad2010ac615f041aaeeb8151b5c9713f0,1-s2.0-S0096300312005589-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,85,6,14.2,24,introduction > theory > experiments > conclusion,,context_stakes > model_framework > decision_problem > implication,optimal_control,,corpus/attachment_paper_cards/2012-optimal-control-computer-virus-under-delayed-model.md
2013-computer-virus-model-graded-cure-rates,2013,A computer virus model with graded cure rates,Nonlinear Analysis: Real World Applications,10.1016/j.nonrwa.2012.07.005,1,yes,unknown,A_core_voice,high,2.000,no,no,9,3dac75e7ca7bd74f9f71fb2c915306563b5fb6b8daf0132a062cfac67bd25476,1-s2.0-S1468121812001307-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,140,7,20.0,41,introduction > theory > conclusion,,context_stakes > model_framework > theory_conditions,epidemic_or_spreading_model;stability_threshold,sensitivity,corpus/attachment_paper_cards/2013-computer-virus-model-graded-cure-rates.md
2013-epidemics-computer-viruses-complex-network-approach,2013,Epidemics of computer viruses: A complex-network approach,Applied Mathematics and Computation,10.1016/j.amc.2013.02.031,1,yes,unknown,A_core_voice,high,2.000,no,no,13,7ccf960d1963c9baf9328efb17755c39008c560da1ee5956702e9a75064eba6f,1-s2.0-S0096300313001537-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,129,7,18.4,34,introduction > model > theory > discussion_limits > conclusion,,context_stakes > model_framework > theory_conditions > evaluation,epidemic_or_spreading_model;stability_threshold,synthetic_networks,corpus/attachment_paper_cards/2013-epidemics-computer-viruses-complex-network-approach.md
2014-pulse-treatment-computer-viruses-modeling-study,2014,The pulse treatment of computer viruses: a modeling study,Nonlinear Dynamics,10.1007/s11071-013-1216-x,1,no_or_not_identified,unknown,A_core_voice,high,1.500,no,no,15,630c560174e6c4bacc1d5e012d71e8561f958b6da14dae6d60682d2268ede474,s11071-013-1216-x (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,173,8,21.5,54,introduction > theory > discussion_limits > conclusion > experiments > model,limitations_future,context_stakes > model_framework > implication,epidemic_or_spreading_model;impulse_control;stability_threshold,sensitivity,corpus/attachment_paper_cards/2014-pulse-treatment-computer-viruses-modeling-study.md
2016-heterogeneous-virus-propagation-networks-theoretical-study,2016,Heterogeneous virus propagation in networks: a theoretical study,Mathematical Methods in the Applied Sciences,10.1002/mma.4061,1,no_or_not_identified,unknown,A_core_voice,high,1.500,no,no,18,d0065b51a222ea4257b62aa746a32bcbfd56b4b017e5abc106880cf0ad5f9527,Math Methods in App Sciences - 2016 - Yang - Heterogeneous virus propagation in networks  a theoretical study (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,113,6,18.8,34,introduction > theory > experiments > discussion_limits > conclusion > model,,context_stakes > model_framework > theory_conditions > evaluation > result_claim,epidemic_or_spreading_model;stability_threshold,numerical_experiments,corpus/attachment_paper_cards/2016-heterogeneous-virus-propagation-networks-theoretical-study.md
2016-optimal-dynamic-immunization-under-controlled-heterogeneous-node-based,2016,The optimal dynamic immunization under a controlled heterogeneous node-based SIRS model,Physica A,10.1016/j.physa.2016.01.026,1,no_or_not_identified,unknown,A_core_voice,high,1.500,no,no,13,f6088db448078a1b58a3e7e6f4383c788f9337c69c081a65ac9847891a87b3b2,1-s2.0-S0378437116000650-main (3).pdf,attachment_fulltext_analyzed,owner_provided_attachment,175,8,21.9,41,introduction > problem_formulation > theory > experiments > discussion_limits > conclusion,,context_stakes > model_framework > decision_problem > theory_conditions > evaluation > result_claim > implication,epidemic_or_spreading_model;optimal_control,numerical_experiments,corpus/attachment_paper_cards/2016-optimal-dynamic-immunization-under-controlled-heterogeneous-node-based.md
2017-dynamic-malware-containment-under-epidemic-model-alert,2017,Dynamic malware containment under an epidemic model with alert,Physica A,10.1016/j.physa.2016.11.143,2,no_or_not_identified,unknown,C_research_architecture_only,low_to_moderate,0.450,no,no,12,a021a025c1fbc5719274e078f102dc81431683a1398f15c997cf0b24eb1e2f80,1-s2.0-S0378437116309669-main (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,120,7,17.1,28,introduction > theory > experiments > conclusion,paper_organization,context_stakes > model_framework > decision_problem > theory_conditions > evaluation > result_claim > implication,epidemic_or_spreading_model;optimal_control,numerical_experiments,corpus/attachment_paper_cards/2017-dynamic-malware-containment-under-epidemic-model-alert.md
2017-impact-patch-forwarding-prevalence-computer-virus-theoretical-assessment,2017,The impact of patch forwarding on the prevalence of computer virus: A theoretical assessment approach,Applied Mathematical Modelling,10.1016/j.apm.2016.10.028,1,yes,unknown,A_core_voice,high,2.000,no,no,16,197ad78b344e9598be51f4a748940132c5e4ad2000df745c35b1a9129437301c,1-s2.0-S0307904X16305431-main.pdf,attachment_fulltext_analyzed,owner_provided_attachment,157,9,17.4,27,introduction > model > theory > experiments > discussion_limits > conclusion,,context_stakes > model_framework > theory_conditions > evaluation > result_claim,epidemic_or_spreading_model;stability_threshold,numerical_experiments;sensitivity,corpus/attachment_paper_cards/2017-impact-patch-forwarding-prevalence-computer-virus-theoretical-assessment.md
2018-bi-virus-competing-spreading-model-generic-infection-rates,2018,A Bi-Virus Competing Spreading Model with Generic Infection Rates,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2017.2734075,1,no_or_not_identified,unknown,A_core_voice,high,1.725,yes,yes,12,b1c599a047213f51eb1e7394d3e03aeba66ff2fe37439430f89f816aa4904017,A_Bi-Virus_Competing_Spreading_Model_with_Generic_Infection_Rates (3).pdf,attachment_fulltext_analyzed,owner_provided_attachment,176,7,25.1,65,introduction > theory > conclusion > model,,context_stakes > model_framework > theory_conditions > evaluation > result_claim,epidemic_or_spreading_model,numerical_experiments,corpus/attachment_paper_cards/2018-bi-virus-competing-spreading-model-generic-infection-rates.md
2018-differential-game-approach-patch-injection,2018,A Differential Game Approach to Patch Injection,IEEE Access,10.1109/ACCESS.2018.2874446,1,no_or_not_identified,unknown,A_core_voice,high,1.500,yes,no,15,b67d4ae086541f4f23f119e2f1921cfe87774285b2fa5c70354f75db204d3f17,A_Differential_Game_Approach_to_Patch_Injection (1).pdf,attachment_fulltext_analyzed,owner_provided_attachment,194,10,19.4,29,introduction > related_work > problem_formulation > experiments > discussion_limits > conclusion,paper_organization;related_work,context_stakes > model_framework > decision_problem > theory_conditions > algorithm_solver > evaluation > result_claim > implication,epidemic_or_spreading_model;differential_game;game_theory;stability_threshold,comparative_experiments,corpus/attachment_paper_cards/2018-differential-game-approach-patch-injection.md
