rule_id,repository_layer,source_repo,source_path,snapshot_commit,derived_doctrine,skill_destination,copy_policy
F01,foundation,LYang910920/network-control-differential-games,docs/FROM_MODEL_TO_PAPER.md,3d9a5a77e99afac1fb06c8119575708f41ff77de,"Define state order, units, graph resolution, action timing and reset maps before selecting a method.",SKILL.md Phase 3,paraphrase_only
F02,foundation,LYang910920/network-control-differential-games,docs/FROM_MODEL_TO_PAPER.md,3d9a5a77e99afac1fb06c8119575708f41ff77de,"Establish an uncontrolled model and an independent numerical baseline before complex control or learning.",SKILL.md Phase 4 and Track A,paraphrase_only
F03,foundation,LYang910920/network-control-differential-games,docs/REPRODUCIBILITY.md,3d9a5a77e99afac1fb06c8119575708f41ff77de,"Record graph source, resolved parameters, solver configuration, convergence and invariant errors for every reported run.",references/QUALITY_GATES.md,paraphrase_only
F04,foundation,LYang910920/network-control-differential-games,src/cybercontrol/graph_data.py,3d9a5a77e99afac1fb06c8119575708f41ff77de,"Accept documented graph formats through a provenance-aware adapter and preserve full-graph statistics separately from reduced dense examples.",references/ADAPTER_ARCHITECTURE.md,interface_derivation_only
F05,foundation,LYang910920/network-control-differential-games,docs/MODELS_AND_API.md,3d9a5a77e99afac1fb06c8119575708f41ff77de,"Record heterogeneous parameter arrays and compare them with matched-mean homogeneous profiles.",references/SIMULATION_VALIDATION.md,paraphrase_only
F06,foundation,LYang910920/network-control-differential-games,docs/source/network_control_foundations.tex,3d9a5a77e99afac1fb06c8119575708f41ff77de,"Use one layered progression from dynamics to control, games, impulses and network implementation.",references/LECTURE_TO_PAPER_BLUEPRINTS.md,paraphrase_only
G01,game_learning,LYang910920/note1-cyber-control-games,docs/METHODS_AND_API.md,10ea7c2a9acfca679c27bfe32ad4ec6cbfe30527,"Define pre-action observation, action selection, optional reset, zero-order-hold flow, integration and interval reward in that order.",templates/SIMULATION_CONTRACT.yaml,paraphrase_only
G02,game_learning,LYang910920/note1-cyber-control-games,docs/METHODS_AND_API.md,10ea7c2a9acfca679c27bfe32ad4ec6cbfe30527,"Separate running costs from one-time impulse costs and distinguish sampled actions from continuous-time controls.",references/SIMULATION_VALIDATION.md,paraphrase_only
G03,game_learning,LYang910920/note1-cyber-control-games,docs/FROM_MODEL_TO_PAPER.md,10ea7c2a9acfca679c27bfe32ad4ec6cbfe30527,"Match a learner to the action/information structure and retain no-action, fixed, rule-based and budget-matched random baselines.",SKILL.md Track B,paraphrase_only
G04,game_learning,LYang910920/note1-cyber-control-games,docs/REPRODUCIBILITY.md,10ea7c2a9acfca679c27bfe32ad4ec6cbfe30527,"Evaluate deterministic policies across multiple training seeds and held-out graph/parameter settings using physical metrics as well as reward.",references/QUALITY_GATES.md,paraphrase_only
G05,game_learning,LYang910920/note1-cyber-control-games,README.md,10ea7c2a9acfca679c27bfe32ad4ec6cbfe30527,"Treat response matrices and unilateral deviations as empirical diagnostics rather than equilibrium proofs.",profiles/claim_language_rules.yaml,paraphrase_only
G06,game_learning,LYang910920/note1-cyber-control-games,src/cybergames/node_env.py,10ea7c2a9acfca679c27bfe32ad4ec6cbfe30527,"Replace synthetic graph construction through an external-topology adapter rather than changing policy logic.",references/ADAPTER_ARCHITECTURE.md,interface_derivation_only
P01,physics_informed,LYang910920/note2-pinn-pidl-cyber-control,docs/source/note2_pinn_pidl_cyber_control.tex,d1b0187c1641da1f60ad5bafe7667a3778d356d1,"Begin by declaring the unknown object; derive network outputs and loss terms from that declaration.",SKILL.md Physics-informed layer,paraphrase_only
P02,physics_informed,LYang910920/note2-pinn-pidl-cyber-control,docs/METHODS_AND_API.md,d1b0187c1641da1f60ad5bafe7667a3778d356d1,"Separate observed data points from collocation points and log every loss component rather than only the weighted total.",references/REAL_DATA_AND_SIMULATION_PROTOCOL.md,paraphrase_only
P03,physics_informed,LYang910920/note2-pinn-pidl-cyber-control,docs/FROM_MODEL_TO_PAPER.md,d1b0187c1641da1f60ad5bafe7667a3778d356d1,"Use an identifiable heterogeneous parameterization and report gauge or correlation ambiguities.",references/QUALITY_GATES.md,paraphrase_only
P04,physics_informed,LYang910920/note2-pinn-pidl-cyber-control,docs/REPRODUCIBILITY.md,d1b0187c1641da1f60ad5bafe7667a3778d356d1,"Hold out nodes and times from every training loss, compare homogeneous misspecification and retain failed fits.",SKILL.md Track D,paraphrase_only
P05,physics_informed,LYang910920/note2-pinn-pidl-cyber-control,src/cyberpinn/node_problem.py,d1b0187c1641da1f60ad5bafe7667a3778d356d1,"Keep synthetic generated truth for recovery tests, but add a separate real-data adapter and calibration vocabulary for field observations.",repo_family/physics_informed_card.md,interface_derivation_only
P06,physics_informed,LYang910920/note2-pinn-pidl-cyber-control,src/cyberpinn/evaluation.py,d1b0187c1641da1f60ad5bafe7667a3778d356d1,"Emit explicit node/time observation and holdout records so evaluation masks are auditable.",templates/REAL_DATA_SPLIT_PLAN.csv,interface_derivation_only
